title,author,description,genres,ratings,number of ratings,number of reviews,5 star,4 star,3 star,2 star,1 star
Catching Fire,Suzanne Collins,"Sparks are igniting.Flames are spreading.And the Capitol wants revenge.Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol—a rebellion that Katniss and Peeta may have helped create.Much to her shock, Katniss has fueled an unrest that she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.In , the second novel of the Hunger Games trilogy, Suzanne Collins continues the story of Katniss Everdeen, testing her more than ever before . . . and surprising readers at every turn.","['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Teen', 'Audiobook', 'Post Apocalyptic', 'Action']",4.32,"3,439,962 ratings","119,962 reviews","1,759,776","1,148,125","429,772","79,402","22,887"
Mockingjay,Suzanne Collins,"My name is Katniss Everdeen.Why am I not dead?I should be dead.Katniss Everdeen, girl on fire, has survived, even though her home has been destroyed. Gale has escaped. Katniss's family is safe. Peeta has been captured by the Capitol. District 13 really does exist. There are rebels. There are new leaders. A revolution is unfolding.It is by design that Katniss was rescued from the arena in the cruel and haunting Quarter Quell, and it is by design that she has long been part of the revolution without knowing it. District 13 has come out of the shadows and is plotting to overthrow the Capitol. Everyone, it seems, has had a hand in the carefully laid plans—except Katniss.The success of the rebellion hinges on Katniss's willingness to be a pawn, to accept responsibility for countless lives, and to change the course of the future of Panem. To do this, she must put aside her feelings of anger and distrust. She must become the rebels' Mockingjay—no matter what the personal cost.","['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Audiobook', 'Post Apocalyptic']",4.08,"3,117,029 ratings","125,399 reviews","1,298,044","1,028,829","582,623","161,142","46,391"
A Story of Yesterday,Sergio Cobo,"A Story of Yesterday is a concise and straight punch to the jaw of life.Under a sky of different colors germinates a magical story of survival, where the result of each choice, enclosed in this particular tale, will snatch the whereabouts of each story forever.","['Thriller', 'Spanish Literature', 'European Literature', 'Mystery', 'Fiction', 'Magical Realism', 'Drama', 'Crime', 'Short Stories', 'Suspense']",4.58,"12,336 ratings",292 reviews,"9,069","1,952",882,328,105
Miracle,Johnathon Nicolaou,"Connor, who in his final year of school has his life turned upside down when he meets beautiful and confident Sydney, who vows to help him finally work up the courage to tell his longtime crush, Mackenzie, how he feels about her. Supported by his two best friends, Sam, and Mart, Connor’s final year is like none other, taking him on a roller coaster ride of, humour, love, and heartbreak, helping him evolve into something more…",[],4.54,203 ratings,22 reviews,128,60,12,2,1
Fight Club,Chuck Palahniuk,"Chuck Palahniuk showed himself to be his generation’s most visionary satirist in this, his first book. Fight Club’s estranged narrator leaves his lackluster job when he comes under the thrall of Tyler Durden, an enigmatic young man who holds secret after-hours boxing matches in the basement of bars. There, two men fight ""as long as they have to."" This is a gloriously original work that exposes the darkness at the core of our modern world.","['Fiction', 'Classics', 'Thriller', 'Novels', 'Mystery', 'Adult', 'Literature', 'Contemporary', 'American', 'Adult Fiction']",4.19,"581,277 ratings","20,878 reviews",,"209,127","87,549","19,641","7,326"
Easy,Tammara Webber,"A New York Times and USA Today BestsellerRescued by a stranger.Haunted by a secret.Sometimes, love isn't easy...He watched her, but never knew her. Until thanks to a chance encounter, he became her savior...The attraction between them was undeniable. Yet the past he'd worked so hard to overcome, and the future she'd put so much faith in, threatened to tear them apart.Only together could they fight the pain and guilt, face the truth - and find the unexpected power of love.A groundbreaking novel in the New Adult genre, Easy faces one girl's struggle to regain the trust she's lost, find the inner strength to fight back against an attacker, and accept the peace she finds in the arms of a secretive boy.","['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Contemporary Romance', 'College', 'Fiction', 'Chick Lit', 'Realistic Fiction', 'Abuse']",4.08,"226,850 ratings","12,041 reviews","96,167","75,207","38,542","10,714","6,220"
Water for Elephants,Sara Gruen,"When Jacob Jankowski, recently orphaned and suddenly adrift, jumps onto a passing train, he enters a world of freaks, drifters, and misfits, a second-rate circus struggling to survive during the Great Depression, making one-night stands in town after endless town. A veterinary student who almost earned his degree, Jacob is put in charge of caring for the circus menagerie. It is there that he meets Marlena, the beautiful young star of the equestrian act, who is married to August, the charismatic but twisted animal trainer. He also meets Rosie, an elephant who seems untrainable until he discovers a way to reach her.Beautifully written, Water for Elephants is illuminated by a wonderful sense of time and place. It tells a story of a love between two people that overcomes incredible odds in a world in which even love is a luxury that few can afford.","['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Book Club', 'Audiobook', 'Novels']",4.11,"1,590,589 ratings","62,048 reviews","641,357","587,155","273,890","65,562","22,625"
"Diplomats & Admirals: From Failed Negotiations and Tragic Misjudgments to Powerful Leaders and Heroic Deeds, the Untold Story of the Pacific War from Pearl Harbor to Midway",Dale A. Jenkins,"WAS THE JAPANESE ATTACK ON PEARL HARBOR INEVITABLE?It’s November 1941. Japan and the US are teetering on a knife-edge as leaders on both sides of the Pacific strive to prevent war between them. But failed diplomacy, foiled negotiations, and possible duplicity in the Roosevelt administration thwart their attempts.Drawing on now-declassified original documents, Diplomats & Admirals reveals the inside story of one fateful year, including:• How the hidden agendas of powerful civilian and military leaders pushed the two nations toward war• The miscommunications, misjudgments, and blunders that doomed efforts at peace• China’s role in the US ultimatum that triggered the attack on Pearl Harbor• Why the carrier-to-carrier showdown at Coral Sea proved a fatal mistake for Japan• How courageous US navy pilots snatched victory from defeat at the Battle of MidwayThe defining events of WWII could have ended very differently. Combining perspectives from both military and civilian leaders, Diplomats & Admirals uncovers new insights into the Pacific naval battles that shaped the world—and the men behind them.",[],4.29,"6,028 ratings",31 reviews,"2,733","2,700",297,217,81
The Namatjira Connection,Estelle Ryan,"Looted artworks. Italian Mafia. Deepfakes.The weekend in Italy is supposed to be a family event—a celebration as well as a break for the whole team to enjoy everything Naples has to offer. As it is, Doctor Genevieve Lenard is hard-pushed to keep an autistic shutdown at bay while surrounded by boisterous relatives and friends. When armed police interrupt the festivities to arrest a cousin for murder, relaxation becomes the last thing on her mind and staying in the moment, the foremost. A mere glimpse at the ‘irrefutable’ evidence is enough for Genevieve to know she and her team have their work cut out to prove the family member is being set up. When they realise they are dealing with the most brutal of mafias—the Camorra, and they uncover the clan’s end goal, the stakes are suddenly extremely high. And terrifying. Never in her wildest dreams could Genevieve imagine someone planning something as deplorable as this. Something as ruthless. Something that can cause such immeasurable harm. With more questions than answers, Genevieve and her team have to find and stop this clan before thousands of people lose their lives.",[],4.27,551 ratings,27 reviews,282,150,107,9,3
The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,"On a summer morning in Sarajevo a hundred years ago, a teenage assassin named Gavrilo Princip fired not just the opening shots of the First World War but the starting gun for modern history, when he killed Archduke Franz Ferdinand. Yet the events Princip triggered were so monumental that his own story has been largely overlooked, his role garbled and motivations misrepresented.The Trigger puts this right, filling out as never before a figure who changed our world and whose legacy still has an impact on all of us today. Born a penniless backwoodsman, Princip’s life changed when he trekked through Bosnia and Serbia to attend school. As he ventured across fault lines of faith, nationalism and empire, so tightly clustered in the Balkans, radicalisation slowly transformed him from a frail farm boy into history’s most influential assassin.By retracing Princip’s journey from his highland birthplace, through the mythical valleys of Bosnia to the fortress city of Belgrade and ultimately Sarajevo, Tim Butcher illuminates our understanding both of Princip and the places that shaped him. Tim uncovers details about Princip that have eluded historians for a century and draws on his own experience, as a war reporter in the Balkans in the 1990s, to face down ghosts of conflicts past and present.is a rich and timely work that brings to life both the moment the world first went to war and an extraordinary region with a potent hold over history.","['History', 'Nonfiction', 'Biography', 'World War I', 'War', 'Travel', 'Historical', 'European History', 'Politics', '20th Century']",3.79,"4,006 ratings",287 reviews,"1,387","1,296",723,304,296
